Product_Name,Img_Link,price
Imou IPC-F22P-D-0360B-imou Bullet 2C Bullet WiFi Camera 2MP,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/649474/1.jpg?7636,"EGP 1,700.00"
Eufy Indoor Cam C220 Pan & Tilt 2K T8W11321 - White,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/5189321/1.jpg?6195,"EGP 1,899.00"
Fujifilm INSTAX MINI 12 Instant Film Camera Green With10card,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/0914701/1.jpg?7359,"EGP 4,499.00"
Eufy Indoor Cam Mini 2K T8414G21 - White,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/6623901/1.jpg?6005,"EGP 1,223.00"
Nikon Z 6II FX-Format Mirrorless Camera Body Black,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/720094/1.jpg?6524,"EGP 175,400.00"
"Insta360 X3 360 Degree Action Camera, Wi-Fi",https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/940196/1.jpg?7252,"EGP 22,499.00"
Dji Osmo OSMO Pocket 3 Camera,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/0601031/1.jpg?3665,"EGP 32,999.00"
Fujifilm INSTAX MINI 12 Instant Film Camera Pink With10card,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/7667701/1.jpg?7071,"EGP 4,499.00"
Hikvision DVR-HIKVISION-DS-7104HGHI-K1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/527844/1.jpg?5310,"EGP 2,500.00"
Fujifilm Instax Mini 12 Instant Camera - Blossom-pink + Fujifilm Instax Mini Film 2-Pack (20 Sheets),https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/6968211/1.jpg?4027,"EGP 5,999.00"
Fujifilm INSTAX MINI 12 Instant Film Cam(Lilac Purple),https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/0741801/1.jpg?3226,"EGP 3,999.00"
Fujifilm INSTAX MINI 12 Instant Film Camera (Pastel Blue),https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/9441801/1.jpg?2392,"EGP 3,999.00"
Hikvision DS-7104HGHI-k1 - 4 Channel DVR,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/156474/1.jpg?3700,"EGP 1,600.00"
Imou Bullet 2E  Colorful IP Wifi Camera 2MP H.265 IPC-F22FP,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/055623/1.jpg?5354,"EGP 2,299.00"
Zhiyun Smooth Q3 COMBO,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/852175/1.jpg?6097,"EGP 4,499.00"
